Title,released,Developer,Publisher,Genres,rating,User Score,ratings_count
BLAZBLUE CONTINUUM SHIFT EXTEND,2012-02-14,ARC SYSTEM WORKS,AKSYS GAMES,2D FIGHTING,RATED T FOR TEEN,7.5,102
COSMIC STAR HEROINE,2018-08-14,ZEBOYD GAMES,LIMITED RUN GAMES,JRPG,RATED T FOR TEEN,7.4,33
THE WALKING DEAD SAINTS & SINNERS  CHAPTER 2 RETRIBUTION,2023-03-21,SKYBOUND GAMES,SKYBOUND GAMES,SURVIVAL,RATED M FOR MATURE,7.2,11
MXGP THE OFFICIAL MOTOCROSS VIDEOGAME,2014-11-18,MILESTONE S.R.L,BANDAI NAMCO GAMES,ARCADE RACING,RATED E FOR EVERYONE,6.4,14
MORTAL KOMBAT XL,2016-03-01,NETHERREALM STUDIOS,WARNER BROS. INTERACTIVE ENTERTAINMENT,2D FIGHTING,RATED M FOR MATURE,7.7,672
RESIDENT EVIL 5 DESPERATE ESCAPE,2010-03-03,CAPCOM,CAPCOM,SURVIVAL,RATED M FOR MATURE,7.6,27
SILENT HUNTER 5 BATTLE OF THE ATLANTIC,2010-03-02,UBISOFT ROMANIA,UBISOFT,MARINE COMBAT SIM,RATED T FOR TEEN,5.6,46
SABAN'S POWER RANGERS MEGAFORCE,2013-11-05,DIGITAL WORKS ENTERTAINMENT,NAMCO BANDAI GAMES,2D BEAT-'EM-UP,RATED E +10 FOR EVERYONE +10,4.5,12
BLOCK FORTRESS,2013-03-07,,,ACTION,,0.0,0
WWE 2K14,2013-10-29,YUKE'S,2K GAMES,WRESTLING,RATED T FOR TEEN,7.7,128
MURDER BY NUMBERS,2020-03-06,MEDIATONIC,THE IRREGULAR CORPORATION,VISUAL NOVEL,,6.7,23
RATCHET & CLANK SIZE MATTERS,2007-02-13,HIGH IMPACT GAMES,SCEA,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,8.0,191
UNEPIC,2014-01-16,ENJOYUP GAMES,ENJOYUP GAMES,ACTION RPG,RATED T FOR TEEN,7.5,58
THE LORD OF THE RINGS THE BATTLE FOR MIDDLEEARTH II  THE RISE OF THE WITCHKING,2006-11-28,EA LA,EA GAMES,REAL-TIME STRATEGY,RATED T FOR TEEN,8.8,129
MLB THE SHOW 18,2018-03-27,SONY INTERACTIVE ENTERTAINMENT,SONY INTERACTIVE ENTERTAINMENT,BASEBALL SIM,RATED E FOR EVERYONE,6.3,103
SMELTER,2021-04-22,X PLUS,DANGEN ENTERTAINMENT,2D PLATFORMER,RATED T FOR TEEN,6.8,0
NINJATOWN TREES OF DOOM!,2010-05-05,"VENAN ENTERTAINMENT, INC.","VENAN ENTERTAINMENT, INC.",ACTION,,0.0,0
THE MAGE'S TALE,2017-06-20,INXILE ENTERTAINMENT,INXILE ENTERTAINMENT,ADVENTURE,RATED T FOR TEEN,7.5,12
THE WITCHER 3 WILD HUNT  BLOOD AND WINE,2016-05-30,CD PROJEKT RED STUDIO,CD PROJEKT,ACTION RPG,RATED M FOR MATURE,9.1,4208
PORT ROYALE 4,2020-09-25,GAMING MINDS STUDIOS,KALYPSO,MANAGEMENT,RATED E +10 FOR EVERYONE +10,5.2,17
JUST DANCE 2024 EDITION,2023-10-24,UBISOFT,UBISOFT,DANCING,RATED E FOR EVERYONE,5.1,15
DYING LIGHT,2015-01-27,TECHLAND,WARNER BROS. INTERACTIVE ENTERTAINMENT,SURVIVAL,RATED M FOR MATURE,8.1,2143
TEMPO ,2015-02-11,SPLASH DAMAGE,WARCHEST LIMITED,ACTION,,0.0,0
CONFLICT DESERT STORM,2003-04-22,PIVOTAL GAMES,GOTHAM GAMES,TACTICAL THIRD PERSON SHOOTER,RATED T FOR TEEN,7.8,6
CUT THE ROPE TIME TRAVEL,2013-04-18,ZEPTOLAB,ZEPTOLAB,LOGIC PUZZLE,,7.0,12
EXERBEAT,2011-05-17,NAMCO BANDAI GAMES,NAMCO BANDAI GAMES,SPORTS,RATED E FOR EVERYONE,7.0,7
FAR CRY 3 BLOOD DRAGON,2013-05-01,UBISOFT MONTREAL,UBISOFT,FPS,RATED M FOR MATURE,8.4,413
YUGIOH! WORLD CHAMPIONSHIP 2007,2007-03-20,KONAMI,KONAMI,CARD BATTLE,RATED E FOR EVERYONE,7.0,20
MOTOGP 2,2003-05-21,CLIMAX STUDIOS,THQ,AUTO RACING SIM,RATED E FOR EVERYONE,4.8,0
BUG HEROES 2,2014-02-19,,,ACTION,,6.1,8
SWING AWAY GOLF,2000-10-25,T&E SOFT,ELECTRONIC ARTS,GOLF,RATED E FOR EVERYONE,0.0,0
COUNTERSTRIKE SOURCE,2004-10-07,VALVE SOFTWARE,VALVE SOFTWARE,TACTICAL FPS,RATED M FOR MATURE,8.2,1352
SUPER CRUSH KO,2020-01-16,VERTEX POP,VERTEX POP,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,7.8,13
ALLEGIANCE,2000-03-31,MICROSOFT GAME STUDIOS,MICROSOFT GAME STUDIOS,SPACE COMBAT SIM,RATED E FOR EVERYONE,7.3,18
HARRY POTTER AND THE PRISONER OF AZKABAN,2004-06-02,EA GAMES,EA GAMES,ACTION ADVENTURE,RATED E FOR EVERYONE,8.0,62
WORLD OF FINAL FANTASY,2016-10-25,SQUARE ENIX,SQUARE ENIX,JRPG,RATED E +10 FOR EVERYONE +10,7.6,411
STAR WARS BOUNTY HUNTER,2002-11-19,LUCASARTS,LUCASARTS,THIRD PERSON SHOOTER,RATED T FOR TEEN,7.8,43
HALFLIFE,1998-11-19,VALVE SOFTWARE,SIERRA ENTERTAINMENT,FPS,RATED M FOR MATURE,9.1,4847
VADER IMMORTAL EPISODE I,2019-05-21,ILMXLAB,DISNEY INTERACTIVE STUDIOS,FIRST-PERSON ADVENTURE,,7.0,14
POOL PANIC,2018-07-19,REKIM,ADULT SWIM,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,7.0,14
THE SCOURGE PROJECT EPISODES 1 AND 2,2010-04-09,TRAGNARION STUDIOS,BITBOX S.L.,FPS,,3.5,17
BEJEWELED TWIST,2008-10-27,POPCAP,POPCAP,MATCHING PUZZLE,RATED E FOR EVERYONE,7.7,14
JAK II,2003-10-14,NAUGHTY DOG,SCEA,3D PLATFORMER,RATED T FOR TEEN,8.4,454
SENRAN KAGURA REFLEXIONS,2018-09-13,HONEY PARADE GAMES,XSEED GAMES,ADVENTURE,RATED M FOR MATURE,7.7,49
WORLD WAR II ONLINE BLITZKRIEG,2001-06-04,CORNERED RAT,STRATEGY FIRST,FPS,RATED T FOR TEEN,0.0,0
ARENA OF VALOR,2018-09-25,TIMI STUDIOS,TENCENT,MOBA,,6.7,60
MLB 2006,2005-03-08,989 SPORTS,SCEA,BASEBALL SIM,RATED E FOR EVERYONE,0.0,0
MAJESTY 2 KINGMAKER,2010-03-26,1C ENTERTAINMENT,PARADOX INTERACTIVE,STRATEGY,RATED T FOR TEEN,7.3,10
BIRD MANIA 3D,2012-05-03,TEYON,TEYON,ARCADE,RATED E FOR EVERYONE,6.2,19
HEAVY FIRE RED SHADOW,2018-10-16,MASTIFF,MASTIFF,FPS,RATED T FOR TEEN,4.3,10
TRON RUNR,2016-02-16,SANZARU GAMES,DISNEY INTERACTIVE STUDIOS,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,6.5,22
TRAITORS GATE,2000-04-30,DAYDREAM SOFTWARE,DREAMCATCHER INTERACTIVE,ADVENTURE,RATED E FOR EVERYONE,4.6,5
RESIDENT EVIL REVELATIONS,2012-02-07,CAPCOM,CAPCOM,SURVIVAL,RATED M FOR MATURE,8.4,577
MECHWARRIOR 4 BLACK KNIGHT EXPANSION,2001-10-31,CYBERLORE STUDIOS,MICROSOFT GAME STUDIOS,VEHICLE COMBAT SIM,RATED T FOR TEEN,6.8,8
WALLACE & GROMIT IN PROJECT ZOO,2003-10-07,FRONTIER DEVELOPMENTS,BAM ENTERTAINMENT,3D PLATFORMER,RATED E FOR EVERYONE,2.3,39
CRUSTY DEMONS,2006-06-27,CLIMAX STUDIOS,EVOLVED GAMES,ARCADE RACING,RATED M FOR MATURE,0.0,0
NOVA 2  NEAR ORBIT VANGUARD ALLIANCE,2010-12-16,GAMELOFT,GAMELOFT,FPS,,6.8,18
DARK ARCANA THE CARNIVAL,2017-03-17,ARTIFEX MUNDI,ARTIFEX MUNDI,HIDDEN OBJECT,RATED T FOR TEEN,0.0,0
REGALIA OF MEN AND MONARCHS,2017-05-18,PIXELATED MILK,KLABATER,TURN-BASED TACTICS,,7.7,39
TRAIN FEVER,2014-09-04,URBAN GAMES,GAMBITIOUS,TRAIN SIM,,6.9,93
STAR TREK ELITE FORCE II,2003-06-25,RITUAL ENTERTAINMENT,ACTIVISION,FPS,RATED T FOR TEEN,8.0,40
STREET SUPREMACY,2006-02-28,GENKI,KONAMI,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0
TALES OF SYMPHONIA REMASTERED,2023-02-17,BANDAI NAMCO GAMES,BANDAI NAMCO GAMES,ACTION RPG,RATED T FOR TEEN,3.8,23
WAR FOR THE OVERWORLD,2015-04-02,SUBTERRANEAN GAMES,SUBTERRANEAN GAMES,REAL-TIME STRATEGY,,7.9,132
SUPER SMASH BROS ULTIMATE,2018-12-07,NINTENDO,NINTENDO,2D FIGHTING,RATED E +10 FOR EVERYONE +10,8.6,4133
LOTUS CHALLENGE,2003-04-30,KUJU ENTERTAINMENT,XICAT INTERACTIVE,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0
THE SIMS 2 NIGHTLIFE,2005-09-13,MAXIS,EA GAMES,VIRTUAL LIFE,RATED T FOR TEEN,4.2,35
INSURGENCY SANDSTORM,2018-12-12,NEW WORLD INTERACTIVE,FOCUS HOME INTERACTIVE,TACTICAL FPS,RATED M FOR MATURE,8.0,250
YOKAI WATCH,2015-11-06,LEVEL 5,NINTENDO,TRAINER RPG,RATED E +10 FOR EVERYONE +10,8.1,220
THE GREAT CIRCUS MYSTERY STARRING MICKEY & MINNIE,2003-11-12,KLEIN COMPUTER ENTERTAINMENT,CAPCOM,2D PLATFORMER,RATED E FOR EVERYONE,0.0,0
MECHCOMMANDER 2,2001-07-18,MICROSOFT GAME STUDIOS,MICROSOFT GAME STUDIOS,STRATEGY,RATED T FOR TEEN,7.8,33
PIRATES VS NINJAS DODGEBALL,2008-09-03,BLAZING LIZARD,SOUTHPEAK GAMES,INDIVIDUAL SPORTS,RATED E +10 FOR EVERYONE +10,8.0,0
AFTER US,2023-05-23,PICCOLO,PRIVATE DIVISION,ACTION ADVENTURE,RATED T FOR TEEN,6.0,31
GIGANTIC ARMY,2014-02-05,ASTRO PORT,NYU MEDIA,ACTION,,6.7,10
SAGA SCARLET GRACE AMBITIONS,2019-12-03,SQUARE ENIX,SQUARE ENIX,JRPG,RATED T FOR TEEN,6.3,16
HAVEN PARK,2021-08-05,BUBBLE STUDIO,MOONEYE STUDIOS,THIRD-PERSON ADVENTURE,RATED E FOR EVERYONE,7.5,11
CAPSIZED,2013-07-05,KOOLHAUS GAMES,NAMCO BANDAI GAMES,2D PLATFORMER,RATED T FOR TEEN,6.8,20
PIPE MANIA,2008-09-26,RAZORWORKS,EMPIRE INTERACTIVE,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0
THE GODFATHER,2006-03-21,PAGE 44 STUDIOS,ELECTRONIC ARTS,OPEN-WORLD ACTION,RATED M FOR MATURE,8.1,14
RAIDEN IV X MIKADO REMIX,2023-01-31,MOSS,NIS AMERICA,VERTICAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,0.0,0
FROSTPUNK,2018-04-24,11 BIT STUDIOS,MERGE GAMES,MANAGEMENT,RATED M FOR MATURE,8.4,1009
PHANTASY STAR UNIVERSE,2006-10-25,SONIC TEAM,SEGA,ACTION RPG,RATED T FOR TEEN,7.1,23
DISNEYPIXAR TOY STORY RACER,2001-03-05,TRAVELLER'S TALES,ACTIVISION,AUTO RACING,RATED E FOR EVERYONE,8.0,22
HARRY POTTER FOR KINECT,2012-10-09,EUROCOM,WARNER BROS. INTERACTIVE ENTERTAINMENT,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,4.7,21
NARCO TERROR,2013-07-31,KOCH MEDIA,DEEP SILVER,THIRD PERSON SHOOTER,RATED M FOR MATURE,5.9,13
MEDIEVAL DYNASTY,2020-12-17,RENDER CUBE,TOPLITZ PRODUCTIONS,SURVIVAL,RATED T FOR TEEN,6.4,83
MAX THE CURSE OF BROTHERHOOD,2013-12-20,PRESS PLAY,MICROSOFT GAME STUDIOS,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,7.4,309
NEED FOR SPEED PROSTREET,2007-11-15,EA BLACK BOX,EA GAMES,AUTO RACING SIM,RATED E +10 FOR EVERYONE +10,7.0,73
SAINTS ROW IV REELECTED & GAT OUT OF HELL,2015-01-20,VOLITION INC.,DEEP SILVER,OPEN-WORLD ACTION,RATED M FOR MATURE,6.6,48
MONSTER JAM STEEL TITANS 2,2021-03-02,RAINBOW STUDIOS,THQ NORDIC,AUTO RACING,RATED E FOR EVERYONE,4.6,5
PICROSS S 3,2019-04-25,JUPITER CORPORATION,JUPITER CORPORATION,LOGIC PUZZLE,RATED E FOR EVERYONE,8.3,14
MIGHTY GOOSE,2021-06-05,BLASTMODE,PLAYISM,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,7.5,13
WORLD WAR II FRONTLINE COMMAND,2003-06-27,THE BITMAP BROTHERS,STRATEGY FIRST,REAL-TIME STRATEGY,RATED T FOR TEEN,6.0,0
VEMPIRE,2009-10-22,IMPRESSIONWARE,IMPRESSIONWARE,LOGIC PUZZLE,RATED E FOR EVERYONE,0.0,0
WORLD WAR II PRISONER OF WAR,2002-08-26,WIDE GAMES,CODEMASTERS,THIRD PERSON SHOOTER,RATED T FOR TEEN,5.5,0
ESPN FINAL ROUND GOLF 2002,2001-08-28,KONAMI COMPUTER ENTERTAINMENT NAGOYA,KONAMI,GOLF SIM,RATED E FOR EVERYONE,0.0,0
TAK AND THE POWER OF JUJU,2003-10-15,AVALANCHE SOFTWARE,THQ,3D PLATFORMER,RATED E FOR EVERYONE,7.6,12
GAME OF THRONES,2012-05-15,CYANIDE,ATLUS,WESTERN RPG,RATED M FOR MATURE,5.2,130
WHERE'S MY PERRY?,2012-06-28,,,PUZZLE,RATED RP FOR RATE PENDING,6.6,9
BLEACH THE BLADE OF FATE,2007-10-09,TREASURE,SEGA,2D FIGHTING,RATED T FOR TEEN,6.1,19
EGGLIA REBIRTH,2022-02-10,BROWNIES,BROWNIES,JRPG,RATED E FOR EVERYONE,0.0,0
WONDERPUTT,2012-09-13,DAMP GNAT LTD,DAMP GNAT LTD,ADVENTURE,,0.0,0
GOD OF WAR CHAINS OF OLYMPUS,2008-03-04,READY AT DAWN,SCEA,LINEAR ACTION ADVENTURE,RATED M FOR MATURE,8.6,1047
CRAZY TAXI ,2010-11-24,HITMAKER,SEGA,AUTO RACING,RATED E +10 FOR EVERYONE +10,7.3,30
COMMANDERS ATTACK,2008-02-13,SOUTHEND INTERACTIVE,SIERRA ONLINE,TURN-BASED TACTICS,RATED E +10 FOR EVERYONE +10,8.0,5
NOSTRADAMUS THE LAST PROPHECY,2007-09-30,KHEOPS STUDIO,MC2 ENTERTAINMENT,ADVENTURE,RATED E +10 FOR EVERYONE +10,6.4,11
AVATAR FRONTIERS OF PANDORA,2023-12-07,MASSIVE ENTERTAINMENT,UBISOFT,OPEN-WORLD ACTION,RATED T FOR TEEN,7.7,599
BIOMUTANT,2021-05-25,EXPERIMENT 101,THQ NORDIC,ACTION RPG,RATED T FOR TEEN,6.3,508
KILLZONE LIBERATION,2006-10-31,GUERRILLA,SCEA,TOP-DOWN SHOOT-'EM-UP,RATED T FOR TEEN,7.9,112
UNDERTOW,2007-11-21,CHAIR ENTERTAINMENT,CHAIR ENTERTAINMENT,HORIZONTAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,5.5,11
NEW TALES FROM THE BORDERLANDS,2022-10-21,GEARBOX SOFTWARE,2K GAMES,ADVENTURE,RATED M FOR MATURE,3.8,72
JEREMY MCGRATH'S OFFROAD,2012-06-27,2XL GAMES,D3PUBLISHER,AUTO RACING SIM,RATED E FOR EVERYONE,5.7,10
SHADOW OF THE BEAST,2016-05-17,HEAVY SPECTRUM,SONY INTERACTIVE ENTERTAINMENT,ACTION ADVENTURE,RATED M FOR MATURE,7.3,169
WAKING MARS,2012-03-01,TIGER STYLE,TIGER STYLE,2D PLATFORMER,,6.7,12
TOTAL WAR WARHAMMER III  FORGE OF THE CHAOS DWARFS,2023-04-13,CREATIVE ASSEMBLY,SEGA,REAL-TIME TACTICS,,6.2,19
1979 REVOLUTION BLACK FRIDAY,2016-04-04,INK STORIES,INK STORIES,ADVENTURE,,7.5,85
TWO WORLDS II,2011-01-25,REALITY PUMP,SOUTHPEAK GAMES,ACTION RPG,RATED M FOR MATURE,6.5,150
MEGA MAN X COMMAND MISSION,2004-09-21,"VALUEWAVE CO.,LTD.",CAPCOM,JRPG,RATED E FOR EVERYONE,7.5,36
SQUARE PLANET,2012-10-17,MAJAKA,MAJAKA,2D PLATFORMER,,0.0,0
COMMAND & CONQUER RED ALERT 2,2000-10-21,WESTWOOD STUDIOS,ELECTRONIC ARTS,COMMAND RTS,RATED T FOR TEEN,8.8,508
VALIANT HEARTS COMING HOME,2023-02-01,OLD SKULL GAMES,NETFLIX,2D PLATFORMER,,6.9,8
EARTHFALL,2018-07-13,HOLOSPARK,HOLOSPARK,TACTICAL FPS,RATED T FOR TEEN,5.7,15
SPEED ZONE,2009-08-18,AWESOME PLAY LTD.,DETN8,FUTURE RACING,RATED E FOR EVERYONE,5.3,0
FLOODLAND,2022-11-15,VILE MONARCH,RAVENSCOURT,MANAGEMENT,,5.3,8
FLATOUT ULTIMATE CARNAGE,2007-10-02,BUGBEAR,WARNER BROS. INTERACTIVE ENTERTAINMENT,AUTO RACING,RATED T FOR TEEN,8.4,39
SAINTS ROW THE THIRD REMASTERED,2020-05-22,SPERASOFT,DEEP SILVER,OPEN-WORLD ACTION,RATED M FOR MATURE,7.0,111
PSYCHONAUTS IN THE RHOMBUS OF RUIN,2017-02-21,DOUBLE FINE PRODUCTIONS,DOUBLE FINE PRODUCTIONS,ACTION,RATED E +10 FOR EVERYONE +10,7.4,41
MASTER OF ILLUSION,2007-11-26,EIGHTING,NINTENDO,APPLICATION,RATED E FOR EVERYONE,0.0,0
NINTENDOGS CHIHUAHUA & FRIENDS,2005-08-22,NINTENDO,NINTENDO,VIRTUAL PET,RATED E FOR EVERYONE,5.0,29
STARCRAFT 64,2000-06-12,MASS MEDIA,NINTENDO,COMMAND RTS,RATED T FOR TEEN,6.8,39
HUMAN RESOURCE MACHINE,2015-10-15,TOMORROW CORPORATION,TOMORROW CORPORATION,PUZZLE,,8.0,48
CITIES XL,2009-10-08,MONTE CRISTO,FOCUS HOME INTERACTIVE,MANAGEMENT,RATED E FOR EVERYONE,5.0,31
ROCKY AND BULLWINKLE,2008-04-16,ZEN STUDIOS,MICROSOFT GAME STUDIOS,PARTY,RATED E FOR EVERYONE,4.8,5
MIGHTY MORPHIN POWER RANGERS MEGA BATTLE,2017-01-17,BAMTANG,BANDAI NAMCO GAMES,2D BEAT-'EM-UP,RATED E +10 FOR EVERYONE +10,7.6,58
EVE ONLINE,2003-05-06,CCP,SIMON & SCHUSTER,MMORPG,RATED T FOR TEEN,6.7,307
ASSAULT SUITS VALKEN DECLASSIFIED,2023-03-30,M2,RAINMAKER PRODUCTIONS,HORIZONTAL SHOOT-'EM-UP,,0.0,0
MOTOGP 3,2003-03-17,NAMCO,NAMCO,AUTO RACING SIM,RATED E FOR EVERYONE,8.3,7
SAM & MAX EPISODE 105 REALITY 20,2007-03-29,TELLTALE GAMES,GAMETAP,POINT-AND-CLICK,,7.1,19
CALL OF DUTY BLACK OPS,2010-11-09,TREYARCH,ACTIVISION,TACTICAL FPS,RATED M FOR MATURE,6.8,1910
SPACE MINER SPACE ORE BUST,2010-02-05,"VENAN ENTERTAINMENT, INC.","VENAN ENTERTAINMENT, INC.",RPG,,5.8,5
PUSHMO,2011-12-08,INTELLIGENT SYSTEMS,NINTENDO,ACTION PUZZLE,RATED E FOR EVERYONE,8.3,217
1001 SPIKES,2014-06-03,NICALIS,NICALIS,2D PLATFORMER,RATED T FOR TEEN,6.5,37
VANQUISH,2010-10-19,PLATINUMGAMES,SEGA,THIRD PERSON SHOOTER,RATED M FOR MATURE,9.6,1907
ALIENS VS PREDATOR REQUIEM,2007-11-13,REBELLION,SIERRA ENTERTAINMENT,ACTION ADVENTURE,RATED T FOR TEEN,8.5,80
RATCHET & CLANK,2002-11-04,INSOMNIAC GAMES,SCEA,3D PLATFORMER,RATED T FOR TEEN,8.8,520
AGE OF EMPIRES MYTHOLOGIES,2008-11-24,GRIPTONITE GAMES,THQ,TURN-BASED TACTICS,RATED E +10 FOR EVERYONE +10,7.8,43
PRO EVOLUTION SOCCER 2011,2010-10-19,KONAMI,KONAMI,SOCCER SIM,RATED E FOR EVERYONE,6.4,43
EXCITEBOTS TRICK RACING,2009-04-20,MONSTER GAMES INC.,NINTENDO,AUTO RACING,RATED E FOR EVERYONE,7.4,16
DANCE DANCE REVOLUTION DISNEY MIX,2001-09-18,KONAMI,KONAMI,DANCING,RATED E FOR EVERYONE,0.0,0
DA NEW GUYS DAY OF THE JACKASS,2012-02-29,ICEBOX STUDIOS,WADJET EYE GAMES,POINT-AND-CLICK,,5.8,8
SEPTERRA CORE LEGACY OF THE CREATOR,1999-10-31,VALKYRIE STUDIOS,MONOLITH PRODUCTIONS,RPG,RATED T FOR TEEN,7.6,74
SPEEDBALL 2 HD,2013-12-05,VIVID GAMES,MASTERTRONIC,FUTURE SPORT,,3.8,21
ONE PIECE UNLIMITED CRUISE SP,2011-05-26,BANDAI NAMCO GAMES,BANDAI NAMCO GAMES,ACTION,,6.8,18
MARVEL ULTIMATE ALLIANCE,2006-10-24,RAVEN SOFTWARE,ACTIVISION,ACTION RPG,RATED T FOR TEEN,7.9,113
TOY HOME,2007-12-20,GAME REPUBLIC,SCEA,AUTO RACING,RATED E FOR EVERYONE,4.8,0
LASER LEAGUE,2018-05-10,ROLL7,505 GAMES,FUTURE SPORT,RATED E +10 FOR EVERYONE +10,6.2,34
NIGHTCRY,2016-03-29,"NUDE MAKER,Y.K.",ACTIVE GAMING MEDIA,ACTION ADVENTURE,RATED M FOR MATURE,8.4,5
MYSTICAL NINJA STARRING GOEMON,1998-04-16,KCEO,KONAMI,OPEN-WORLD ACTION,RATED E FOR EVERYONE,8.5,48
MYTH THE FALLEN LORDS,1997-10-31,BUNGIE,BUNGIE,REAL-TIME STRATEGY,RATED M FOR MATURE,8.4,101
QUANTUM ERROR,2023-11-03,TEAMKILL MEDIA LLC,TEAMKILL MEDIA LLC,FPS,RATED M FOR MATURE,3.5,63
MAFIA II DEFINITIVE EDITION,2020-05-19,HANGAR 13,2K GAMES,OPEN-WORLD ACTION,RATED M FOR MATURE,5.9,503
THE RED LANTERN,2020-10-22,TIMBERLINE STUDIO,TIMBERLINE STUDIO,SURVIVAL,RATED T FOR TEEN,5.0,10
CAVEMAN WARRIORS,2017-12-05,JANDUSOFT,JANDUSOFT,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,5.6,7
FINAL FANTASY V,2006-11-06,TOSE,NINTENDO,JRPG,RATED E FOR EVERYONE,8.1,84
SUNSET OVERDRIVE AND THE MYSTERY OF THE MOOIL RIG!,2014-12-23,INSOMNIAC GAMES,MICROSOFT GAME STUDIOS,THIRD PERSON SHOOTER,RATED M FOR MATURE,7.1,35
FROM DUST,2011-07-27,UBISOFT MONTPELLIER,UBISOFT,STRATEGY,RATED E +10 FOR EVERYONE +10,7.6,90
CHESSMASTER 9000,2002-08-31,UBISOFT,UBISOFT,BOARD,RATED E FOR EVERYONE,6.9,10
KILL STRAIN,2016-07-12,SCEA SAN DIEGO STUDIOS,SONY INTERACTIVE ENTERTAINMENT,THIRD PERSON SHOOTER,RATED T FOR TEEN,7.2,31
